"","npap","q10","q25","q50","avg","q75","q90"
"1",2,3,8,17,34.720018136477,33,69
"2",3,2,6,13,21.7776592908558,23,43
"3",4,2,5,10,17.6166253101737,21,38
"4",5,1,4,10,15.5329064389897,19,33
"5",6,1,4,9,14.7159372419488,18,32
"6",7,1,4,9,14.1636363636364,17,33
"7",8,1,4,8,13.59316604378,16,29
"8",9,1,4,8,13.8528693528694,17,30
"9",10,1,3,8,13.0650464617584,17,30
"10",11,1,3,7,12.6860269360269,16,30
"11",12,1,3,7,11.6256206554121,15,26.4
"12",13,1,3,8,11.8613744075829,15,28
"13",14,1,3,7,11.6201438848921,15,27
"14",15,1,3,7,10.9834862385321,14,25
